NAME,Principal_Point_Coordinate_X0_mm,Principal_Point_Coordinate_Y0_mm,Rover_Location_xyz_x_m,Rover_Location_xyz_y_m,Rover_Location_xyz_z_m,camera_center_position_x_m,camera_center_position_y_m,camera_center_position_z_m,camera_rotation_angle_roll,camera_rotation_angle_pitch,camera_rotation_angle_yaw
20220110055550_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220110055550_20220110055550_00235_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.288117,-0.750384,1.534659,56.808311,-49.018899,-112.291568
20220112071717_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220112071717_20220112071717_00237_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.090423,-0.870935,1.552934,-76.002258,-21.359694,96.73797
20220113075336_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220113075336_20220113075336_00238_A.jpg,0.010239,0.022188,106.456076,-998.553898,-10.684802,0.774449,-0.294348,1.521347,68.425254,-2.420633,-88.63184
20220117103248_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220117103248_20220117103248_00242_A.jpg,0.010239,0.022188,127.697072,-1008.003071,-11.462616,0.888966,-0.30977,1.512645,57.682227,-47.308425,-112.272107
20220119115034_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220119115034_20220119115034_00244_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.167235,-0.853396,1.538854,-69.476526,-16.787928,97.421276
20220122135140_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220122135140_20220122135140_00247_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.186181,-0.878609,1.518312,-56.061535,-28.114665,109.113336
20220123142806_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220123142806_20220123142806_00248_A.jpg,0.010239,0.022188,149.077243,-1049.057057,-12.235796,0.24032,-0.844878,1.550077,-52.014547,-61.16862,128.604421
20220125154707_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220125154707_20220125154707_00250_A.jpg,0.010239,0.022188,141.324657,-1068.28289,-11.965429,-0.232639,-0.854523,1.524728,-51.42607,-55.888593,128.193513
20220130180626_HX1-Ro_GRAS_NaTeCamB-F-004_SCI_N_20220130180626_20220130180626_00255_A.jpg,0.010239,0.022188,130.375364,-1073.37624,-11.602299,-0.758786,-0.312337,1.582718,-70.637083,49.655321,74.59365
20220112071852_HX1-Ro_GRAS_NaTeCamB-F-005_SCI_N_20220112071852_20220112071852_00237_A.jpg,0.010239,0.022188,92.270385,-984.89616,-10.143289,0.165644,-0.874885,1.550074,-69.081182,-49.704458,109.02184
20220117103423_HX1-Ro_GRAS_NaTeCamB-F-005_SCI_N_20220117103423_20220117103423_00242_A.jpg,0.010239,0.022188,127.697072,-1008.003071,-11.462616,0.875507,-0.231341,1.512976,66.80952,-20.334419,-96.403733
20220119115209_HX1-Ro_GRAS_NaTeCamB-F-005_SCI_N_20220119115209_20220119115209_00244_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.245601,-0.868355,1.538055,-62.150918,-44.145265,111.914029
20220122135315_HX1-Ro_GRAS_NaTeCamB-F-005_SCI_N_20220122135315_20220122135315_00247_A.jpg,0.010239,0.022188,143.211949,-1016.19108,-12.014616,0.274485,-0.880635,1.517283,-39.11518,-50.479793,135.501225
20220123142941_HX1-Ro_GRAS_NaTeCamB-F-005_SCI_N_20220123142941_20220123142941_00248_A.jpg,0.010239,0.022188,149.077243,-1049.057057,-12.235796,0.302279,-0.794918,1.544545,17.032702,-70.150988,-156.416272
